step,base-maxreward,naive-maxreward,envinformed-maxreward,diverse1-maxreward,diverse2-maxreward,base-logq,naive-logq,envinformed-logq,diverse1-logq,diverse2-logq,base-numskills,naive-numskills,envinformed-numskills,diverse1-numskills,diverse2-numskills
145,185.822113,291.998657,333.177709,379.268148,362.4777017,-1.610881333,-0.6912892,-0.5934215333,-0.6295644333,-0.2733226333,15,5,4,5,3.333333333
146,189.5805663,291.998657,333.177709,386.016332,362.4777017,-1.606264133,-0.6872868667,-0.5889541,-0.6262015333,-0.2722786667,15,5,4,5,3.333333333
147,189.5805663,291.998657,333.177709,386.016332,362.4777017,-1.601744833,-0.6834414333,-0.5846825333,-0.6227847,-0.2712198333,15,5,4,5,3.333333333
148,189.5805663,297.5342967,357.6428323,507.5967757,362.4777017,-1.597030667,-0.6797078667,-0.5808027667,-0.6193820333,-0.2701148333,15,5,4.333333333,5,3.333333333
149,189.5805663,297.5342967,357.6428323,507.5967757,362.4777017,-1.592202233,-0.6758661667,-0.5768957333,-0.6159146,-0.269005,15,5,4.333333333,5,3.333333333
150,216.9417163,297.5342967,432.8645987,507.5967757,362.4777017,-1.587631433,-0.6720076333,-0.572863,-0.6125313333,-0.2678186667,15,5,4.333333333,5,3.333333333
151,216.9417163,297.5342967,432.8645987,507.5967757,362.4777017,-1.5829681,-0.6680773333,-0.5687964,-0.6092056333,-0.2666403333,15,5,4.333333333,5,3.333333333
152,230.2000987,297.5342967,573.2075947,507.5967757,362.4777017,-1.578103233,-0.6641558333,-0.5647512667,-0.6058916667,-0.2654671333,15,5,4.333333333,5,3.333333333
153,230.2000987,330.741572,573.2075947,507.5967757,362.4777017,-1.572965833,-0.6601903,-0.5606655,-0.6027115333,-0.2643144667,15,5,4.333333333,5,3.333333333
154,230.2000987,330.741572,573.2075947,511.6001633,544.9490863,-1.567774933,-0.6564312,-0.5566591667,-0.5997164667,-0.2631197333,15,5,4.333333333,5,3.333333333
155,230.2000987,330.741572,573.2075947,511.6001633,544.9490863,-1.562768133,-0.652726,-0.5526613,-0.596581,-0.2618109,15,5,4.333333333,5,3.333333333
156,230.2000987,330.741572,602.944411,511.6001633,544.9490863,-1.557775433,-0.6490101667,-0.5485991,-0.5933512667,-0.260506,15,5,4.333333333,5,3.333333333
157,230.2000987,330.741572,602.944411,511.6001633,544.9490863,-1.552641833,-0.6452358,-0.5445025333,-0.5900809333,-0.2591733333,15,5,4.333333333,5,3.333333333
158,259.025955,330.741572,602.944411,511.6001633,546.1881203,-1.5474132,-0.6415200333,-0.5404341667,-0.5867745667,-0.2578211,15,5,4.333333333,5,3.333333333
159,262.5728657,330.741572,602.944411,519.7001693,546.1881203,-1.542158367,-0.6378785333,-0.5363933333,-0.5837893667,-0.2564564,15,5,4.333333333,5,3.666666667
160,262.5728657,330.741572,602.944411,519.7001693,546.1881203,-1.536855633,-0.6343688333,-0.5324967333,-0.5809799667,-0.2551599,15,5,4.333333333,5,3.666666667
161,270.9649913,330.741572,615.4235523,519.7001693,546.1881203,-1.5316656,-0.6309018333,-0.5289255333,-0.5779845667,-0.2538697,15,5,4.333333333,5,3.666666667
162,277.9198913,330.741572,615.4235523,519.7001693,557.7758687,-1.526447133,-0.6274986,-0.5252191667,-0.5749314667,-0.2525713333,15,5,4.333333333,5,3.666666667
163,277.9198913,330.741572,615.4235523,519.7001693,749.4825643,-1.521439033,-0.6240547,-0.5215014667,-0.5717405667,-0.2511796,15,5,4.333333333,5,3.666666667
164,277.9198913,330.741572,615.4235523,519.7001693,749.4825643,-1.5161527,-0.6205978,-0.5177290333,-0.5685593333,-0.2498295333,15,5,4.333333333,5,3.666666667
165,277.9198913,330.741572,615.4235523,519.7001693,749.4825643,-1.510944433,-0.6171490667,-0.5139446667,-0.5654201333,-0.2485217667,15,5,4.333333333,5,3.666666667
