,run,tag,step,value
54728,Hopper/Baseline-15skills-seed0,Cumulative runtime,237,396.9997559
54729,Hopper/Baseline-15skills-seed0,Cumulative runtime,238,403.1126404
54730,Hopper/Baseline-15skills-seed0,Cumulative runtime,239,405.1483765
54731,Hopper/Baseline-15skills-seed0,Cumulative runtime,240,412.5001831
54732,Hopper/Baseline-15skills-seed0,Cumulative runtime,241,415.497345
54733,Hopper/Baseline-15skills-seed0,Cumulative runtime,242,418.828186
54734,Hopper/Baseline-15skills-seed0,Cumulative runtime,243,422.7588501
54735,Hopper/Baseline-15skills-seed0,Cumulative runtime,244,428.4595642
54736,Hopper/Baseline-15skills-seed0,Cumulative runtime,245,431.0881348
54737,Hopper/Baseline-15skills-seed0,Cumulative runtime,246,456.0976257
54738,Hopper/Baseline-15skills-seed0,Cumulative runtime,247,463.9251404
54739,Hopper/Baseline-15skills-seed0,Cumulative runtime,248,466.0287781
54740,Hopper/Baseline-15skills-seed0,Cumulative runtime,249,469.722168
54741,Hopper/Baseline-15skills-seed0,Cumulative runtime,250,474.6264038
54742,Hopper/Baseline-15skills-seed0,Cumulative runtime,251,494.5495911
54743,Hopper/Baseline-15skills-seed0,Cumulative runtime,252,498.2677307
54744,Hopper/Baseline-15skills-seed0,Cumulative runtime,253,501.2658386
54745,Hopper/Baseline-15skills-seed0,Cumulative runtime,254,504.1977234
54746,Hopper/Baseline-15skills-seed0,Cumulative runtime,255,509.8713684
54747,Hopper/Baseline-15skills-seed0,Cumulative runtime,256,511.7059326
54748,Hopper/Baseline-15skills-seed0,Cumulative runtime,257,516.9351196
54749,Hopper/Baseline-15skills-seed0,Cumulative runtime,258,521.7885132
54750,Hopper/Baseline-15skills-seed0,Cumulative runtime,259,525.4863281
54751,Hopper/Baseline-15skills-seed0,Cumulative runtime,260,526.3786011
54752,Hopper/Baseline-15skills-seed0,Cumulative runtime,261,529.5350342
54753,Hopper/Baseline-15skills-seed0,Cumulative runtime,262,531.7456055
54754,Hopper/Baseline-15skills-seed0,Cumulative runtime,263,537.6174927
