Wall time,Step,k=1,k=2,k=2 w/ decay
1650339698,216,-0.324525297,-0.515429616,-0.3221076
1650339699,217,-0.324094772,-0.515687943,-0.321281
1650339705,218,-0.323823929,-0.516362607,-0.3207388
1650339705,219,-0.323906988,-0.5168221,-0.3201253
1650339712,220,-0.323722005,-0.517253458,-0.3193724
1650339713,221,-0.323722839,-0.517743945,-0.3190631
1650339718,222,-0.324546635,-0.517779231,-0.3188838
1650339727,223,-0.324945956,-0.517539322,-0.318776
1650339737,224,-0.325126857,-0.517708957,-0.3185291
1650339742,225,-0.325319827,-0.517807245,-0.3181902
1650339748,226,-0.325317085,-0.517736435,-0.3179081
1650339756,227,-0.325260431,-0.517709553,-0.3176535
1650339757,228,-0.325214654,-0.517587066,-0.3174222
1650339762,229,-0.325294763,-0.517494678,-0.3171352
1650339767,230,-0.325354874,-0.517276585,-0.316765
1650339772,231,-0.325486273,-0.516960442,-0.3161774
1650339777,232,-0.32557714,-0.516282558,-0.31563
1650339782,233,-0.325773239,-0.515358806,-0.3152943
1650339796,234,-0.325991482,-0.514646947,-0.3149351
1650339802,235,-0.326042235,-0.513995409,-0.3144805
1650339803,236,-0.326115191,-0.513392866,-0.3139736
1650339806,237,-0.326484174,-0.512988806,-0.3135697
1650339807,238,-0.326610327,-0.512482166,-0.3131987
1650339812,239,-0.3267259,-0.511930943,-0.3127629
1650339818,240,-0.326847553,-0.511287272,-0.3123242
1650339832,241,-0.326886237,-0.510505497,-0.3119662
1650339835,242,-0.32690829,-0.509969056,-0.3115637
1650339866,243,-0.326989144,-0.509476721,-0.3111521
1650339871,244,-0.32692036,-0.509206772,-0.3106529
1650339877,245,-0.327050865,-0.508867919,-0.3100538
1650339885,246,-0.327260643,-0.508544505,-0.3095597
1650339902,247,-0.327434212,-0.508192062,-0.3090327
1650339906,248,-0.327672213,-0.508076131,-0.3085285
1650339938,249,-0.327946305,-0.507950962,-0.307958
1650339942,250,-0.328405589,-0.507766008,-0.3075412
1650339953,251,-0.328754246,-0.507461965,-0.3072783
1650339957,252,-0.329097152,-0.507318079,-0.3069152
1650339963,253,-0.329613626,-0.507139623,-0.3065643
1650339968,254,-0.330079138,-0.506935954,-0.306094
1650339977,255,-0.330502272,-0.507010937,-0.3055768
1650339983,256,-0.331094146,-0.506781101,-0.3050845
1650339992,257,-0.331551939,-0.506756425,-0.3046906
1650339998,258,-0.331976235,-0.506680667,-0.3043531
1650339999,259,-0.332390279,-0.506625533,-0.3039755
1650340002,260,-0.332798928,-0.506426632,-0.303574
1650340010,261,-0.333132923,-0.506286442,-0.3030703
1650340013,262,-0.333336294,-0.50618428,-0.3026161
1650340014,263,-0.333607465,-0.506194353,-0.3021613
1650340026,264,-0.333845347,-0.506186426,-0.3018227
