Wall time,Step,k=2
1650340598,191,-0.498213798
1650340602,192,-0.498883754
1650340606,193,-0.499838948
1650340613,194,-0.50080812
1650340617,195,-0.502312481
1650340620,196,-0.503479064
1650340623,197,-0.504324257
1650340630,198,-0.505002975
1650340634,199,-0.505672216
1650340636,200,-0.506462753
1650340640,201,-0.507035434
1650340644,202,-0.507760882
1650340647,203,-0.50839597
1650340650,204,-0.509240329
1650340654,205,-0.509960592
1650340657,206,-0.510575175
1650340660,207,-0.511148095
1650340666,208,-0.511784434
1650340669,209,-0.512130022
1650340673,210,-0.512541056
1650340676,211,-0.512894452
1650340680,212,-0.513221085
1650340683,213,-0.513476133
1650340686,214,-0.513719201
1650340689,215,-0.514267921
1650340693,216,-0.514988184
1650340708,217,-0.515429616
1650340711,218,-0.515687943
1650340714,219,-0.516362607
1650340721,220,-0.5168221
1650340724,221,-0.517253458
1650340726,222,-0.517743945
1650340752,223,-0.517779231
1650340757,224,-0.517539322
1650340759,225,-0.517708957
1650340762,226,-0.517807245
1650340767,227,-0.517736435
1650340770,228,-0.517709553
1650340773,229,-0.517587066
1650340779,230,-0.517494678
1650340788,231,-0.517276585
1650340790,232,-0.516960442
1650340818,233,-0.516282558
1650340820,234,-0.515358806
1650340823,235,-0.514646947
1650340828,236,-0.513995409
1650340831,237,-0.513392866
1650340832,238,-0.512988806
1650340835,239,-0.512482166
1650340837,240,-0.511930943
1650340842,241,-0.511287272
1650340844,242,-0.510505497
1650340846,243,-0.509969056
1650340849,244,-0.509476721
1650340851,245,-0.509206772
1650340853,246,-0.508867919
1650340854,247,-0.508544505
1650340858,248,-0.508192062
1650340862,249,-0.508076131
1650340865,250,-0.507950962
1650340866,251,-0.507766008
1650340867,252,-0.507461965
1650340871,253,-0.507318079
1650340873,254,-0.507139623
1650340882,255,-0.506935954
1650340885,256,-0.507010937
1650340888,257,-0.506781101
1650340892,258,-0.506756425
1650340899,259,-0.506680667
1650340902,260,-0.506625533
1650340905,261,-0.506426632
1650340911,262,-0.506286442
1650340914,263,-0.50618428
1650340917,264,-0.506194353
1650340918,265,-0.506186426
1650340921,266,-0.506234288
1650340924,267,-0.506359637
1650340927,268,-0.506489396
1650340934,269,-0.506510079
1650340938,270,-0.50655359
1650340942,271,-0.506537914
1650340943,272,-0.506492972
1650340951,273,-0.506382525
1650340952,274,-0.506186604
1650340956,275,-0.506031156
1650340959,276,-0.505874455
1650340962,277,-0.50574702
1650340966,278,-0.505728364
1650340970,279,-0.505713642
1650340978,280,-0.505739212
1650340981,281,-0.505988002
1650340994,282,-0.506157279
1650340997,283,-0.506143808
1650341000,284,-0.506249189
1650341005,285,-0.506469905
1650341011,286,-0.5066908
1650341016,287,-0.507063031
1650341020,288,-0.507626176
1650341029,289,-0.50819248
1650341032,290,-0.508717477
1650341037,291,-0.509411335
1650341040,292,-0.510168433
1650341044,293,-0.510716021
1650341048,294,-0.511539996
1650341051,295,-0.512363672
1650341054,296,-0.513211489
1650341063,297,-0.51438725
1650341067,298,-0.515703678
1650341069,299,-0.51693815
1650341074,300,-0.518243074
