Wall time,Step,k=2; decay
1650341802,176,-0.376023024
1650341803,177,-0.374299437
1650341806,178,-0.372538805
1650341808,179,-0.371020287
1650341811,180,-0.369480669
1650341814,181,-0.368200094
1650341819,182,-0.366724163
1650341822,183,-0.365254641
1650341830,184,-0.363747954
1650341832,185,-0.362188816
1650341842,186,-0.360534012
1650341843,187,-0.35876894
1650341845,188,-0.357126117
1650341848,189,-0.355508953
1650341851,190,-0.354037553
1650341854,191,-0.352476239
1650341855,192,-0.350876838
1650341858,193,-0.349285156
1650341859,194,-0.347771436
1650341885,195,-0.346118003
1650341886,196,-0.344313979
1650341913,197,-0.342516631
1650341914,198,-0.340747267
1650341917,199,-0.338917047
1650341933,200,-0.337452352
1650341937,201,-0.336446792
1650341943,202,-0.335342646
1650341944,203,-0.334192961
1650341947,204,-0.333197206
1650341949,205,-0.332359046
1650341953,206,-0.33153531
1650341954,207,-0.330603302
1650341956,208,-0.329655588
1650341958,209,-0.328744888
1650341966,210,-0.327753037
1650341970,211,-0.326852798
1650341973,212,-0.326062828
1650341975,213,-0.325385422
1650341978,214,-0.32456392
1650341981,215,-0.323840022
1650341984,216,-0.323031574
1650341986,217,-0.322107643
1650341989,218,-0.321281016
1650341991,219,-0.320738763
1650341994,220,-0.320125252
1650341996,221,-0.319372445
1650341999,222,-0.319063097
1650342002,223,-0.318883806
1650342004,224,-0.318776041
1650342006,225,-0.318529099
1650342007,226,-0.318190217
1650342011,227,-0.317908138
1650342012,228,-0.317653507
1650342014,229,-0.317422211
1650342015,230,-0.317135245
1650342018,231,-0.316764951
1650342046,232,-0.316177398
1650342050,233,-0.315629959
1650342052,234,-0.315294325
1650342055,235,-0.314935088
1650342062,236,-0.314480484
1650342065,237,-0.313973576
1650342068,238,-0.313569725
1650342070,239,-0.313198715
1650342072,240,-0.312762946
1650342085,241,-0.312324196
1650342086,242,-0.31196624
1650342088,243,-0.3115637
1650342091,244,-0.31115213
1650342101,245,-0.310652852
1650342102,246,-0.310053796
1650342105,247,-0.309559703
1650342108,248,-0.309032708
1650342112,249,-0.308528483
1650342116,250,-0.307957977
1650342120,251,-0.307541162
1650342127,252,-0.307278305
1650342130,253,-0.306915194
1650342135,254,-0.306564271
1650342138,255,-0.306093961
1650342141,256,-0.305576801
1650342144,257,-0.305084467
1650342147,258,-0.304690599
1650342157,259,-0.304353058
1650342161,260,-0.303975463
1650342162,261,-0.303573996
1650342171,262,-0.303070277
1650342174,263,-0.30261606
1650342177,264,-0.302161306
1650342181,265,-0.301822692
1650342184,266,-0.301548272
1650342187,267,-0.301253378
1650342190,268,-0.300905168
1650342193,269,-0.300421923
1650342196,270,-0.300023377
1650342200,271,-0.299594998
1650342203,272,-0.299210668
1650342211,273,-0.29881534
1650342214,274,-0.298437446
1650342217,275,-0.298164845
1650342220,276,-0.29782784
1650342223,277,-0.297457814
1650342227,278,-0.297106564
1650342230,279,-0.296689004
1650342239,280,-0.296258122
1650342244,281,-0.2962116
1650342253,282,-0.296049356
1650342257,283,-0.295806885
1650342261,284,-0.295738548
1650342266,285,-0.295561641
1650342270,286,-0.295326978
1650342275,287,-0.295566201
1650342278,288,-0.295662314
1650342282,289,-0.295870066
1650342287,290,-0.295999795
1650342288,291,-0.296411246
1650342292,292,-0.296578735
1650342296,293,-0.296940029
1650342300,294,-0.297247171
1650342304,295,-0.297459066
1650342309,296,-0.297642559
1650342312,297,-0.297813088
1650342316,298,-0.298037678
1650342319,299,-0.29817301
1650342323,300,-0.298347652
