Wall time,Step,k=1,k=2,k=5
1650337702,251,-0.500617325,-0.654738545,-0.7483689
1650337708,252,-0.499460697,-0.655154765,-0.7465021
1650337712,253,-0.498306304,-0.655349195,-0.7445633
1650337716,254,-0.497396559,-0.656342685,-0.7426981
1650337721,255,-0.496346802,-0.65718925,-0.7409136
1650337721,256,-0.495371789,-0.657431901,-0.7393023
1650337723,257,-0.494538307,-0.657616436,-0.7377336
1650337727,258,-0.49385199,-0.657823622,-0.7362865
1650337730,259,-0.492984056,-0.658075333,-0.7349942
1650337733,260,-0.492089927,-0.658410251,-0.7337559
1650337769,261,-0.491000652,-0.658601522,-0.7323701
1650337774,262,-0.490014225,-0.658751249,-0.7307245
1650337778,263,-0.488967687,-0.658768654,-0.7292761
1650337781,264,-0.487942636,-0.658692539,-0.7277889
1650337785,265,-0.486789614,-0.658599079,-0.7262511
1650337820,266,-0.485521376,-0.658573866,-0.7250935
1650337823,267,-0.484124154,-0.658567667,-0.7241979
1650337827,268,-0.482689887,-0.658334494,-0.7230234
1650337833,269,-0.481313258,-0.658191085,-0.7218198
1650337837,270,-0.480064571,-0.65790236,-0.720556
1650337841,271,-0.478852332,-0.65775466,-0.7194043
1650337841,272,-0.477641433,-0.657512009,-0.7181373
1650337844,273,-0.476267219,-0.657408297,-0.716874
1650337849,274,-0.475059211,-0.657224417,-0.7155901
1650337853,275,-0.473982811,-0.657181442,-0.714202
1650337857,276,-0.472841829,-0.657374799,-0.7130038
1650337860,277,-0.47171852,-0.65787977,-0.7117578
1650337863,278,-0.470742196,-0.65812099,-0.7106053
1650337864,279,-0.469735116,-0.658487022,-0.7093254
1650337868,280,-0.468840241,-0.658586144,-0.707958
1650337868,281,-0.467735589,-0.658631027,-0.7064694
1650337871,282,-0.466880649,-0.658617973,-0.7049258
1650337910,283,-0.466067761,-0.658725977,-0.7031655
1650337914,284,-0.465401739,-0.658753693,-0.7013507
1650337918,285,-0.464775622,-0.658740222,-0.6995404
1650337922,286,-0.464287549,-0.65882951,-0.6975729
1650337926,287,-0.463783294,-0.659076095,-0.6956514
1650337929,288,-0.463218242,-0.659442186,-0.6940845
1650337950,289,-0.462783933,-0.659827471,-0.6924378
1650337955,290,-0.462453812,-0.660012484,-0.6909144
1650337958,291,-0.462094337,-0.660182476,-0.6891195
1650337960,292,-0.46168983,-0.660240471,-0.6872664
1650337965,293,-0.461367846,-0.660358191,-0.6855554
1650337969,294,-0.461169004,-0.66043663,-0.6840108
1650337994,295,-0.460859448,-0.660569608,-0.682389
1650337998,296,-0.460592359,-0.660561204,-0.6807535
1650338002,297,-0.460429758,-0.660568714,-0.6791032
1650338007,298,-0.460224926,-0.660473406,-0.677509
1650338011,299,-0.46007508,-0.660791337,-0.6760722
